"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10546614","W","3600","1010 SE 15th Street Unit#207","HARBORDALE CONDO HARBORDALE CONDO","","$270,000","","2","2","0","775","Condo","1966","0","","No","",""
"1","A12022076","W","3560","1312 NW 8th Ave","PROGRESSO ","","$259,500","","2","1","0","¤800","Single","1984","0","No","No","Attached","¤1,089"
"1","F10552487","W","3600","1531 SE 15th Street Unit#8","Quarterdeck Condominium Quarterdeck Condominium","","$259,000","","2","2","1","1,008","Condo","1974","0","","Yes","",""
"1","A11967500","W","3370","3050 NE 5th Ter Unit#10","WINDSOR COURT CONDOMINIUM Windsor Court","","$250,000","","2","1","0","¤788","Condo","1973","0","","No","",""
"1","A12019554","W","3560","1309 NW 8th Ave","PROGRESSO ","","$244,900","","2","1","0","¤800","Single","1985","0","No","No","Attached","¤1,089"
"1","B26012887","W","3160","2404 NE 33rd Avenue Unit#4","CYPRESS ARMS CONDO ","","$235,000","","1","1","0","600","Condo","1966","","No","No","Other","0"
"1","B26010490","W","3170","1920 S Ocean Drive Unit#1207","ATLANTIC TOWERS CO-OP ","","$224,900","","0","1","0","532","Co-Op","1961","","No","No","",""
"1","A11997437","W","3380","1125 NE 16th Pl Unit#212","TUDOR MANOR CONDO TUDOR MANOR CONDO","","$220,000","","2","1","0","¤740","Condo","2007","0","","No","",""
"1","F10550185","W","3170","2420 SE 17th Causeway Unit#202C","VILLAGE AT HARBOR BEACH VILLAGE AT HARBOR BEACH","","$210,000","","1","1","0","630","Condo","1969","0","","No","",""
"1","A11674830","W","3270","1900 NE 8th Ct Unit#203","GATEWAY ARMS CONDO GATEWAY ARMS CONDO","","$205,000","","1","1","0","¤600","Condo","1966","1","","No","",""
"1","B26012803","W","3390","680 Tennis Club Drive Unit#102","TENNIS CLUB BROOKS CONDO ","","$199,998","","3","2","1","1,342","Condo","1974","","No","No","Garden Apartment","0"
"1","F10550390","W","3490","2445 SW 18th Terrace Unit#504","Marina Oaks Marina Oaks","","$196,000","","1","1","0","682","Condo","1987","0","","No","",""
"1","F10538719","W","3370","1800 N Andrews Avenue Unit#2I","Drake Tower Drake Tower","","$177,000","","1","1","1","790","Condo","1979","1","","No","",""
"1","A11979319","W","3260","2670 E Sunrise Blvd Unit#615","GALLERY ONE CONDO GALLERY ONE CONDO","","$132,999","","1","1","0","¤586","Condo","1988","1","","Yes","",""
"1","F10501722","W","3390","701 NW 19th Street Unit#202","TENNIS CLUB II COURTS CON TENNIS CLUB II COURTS CON","","$129,900","","2","1","0","682","Condo","1986","","No","No","","0"
