"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10493505","CS","3260","2506 NE 14th St","Beach Way Heights ","","$5,200,000","$5,000,000","5","5","1","5,088","Single","2025","2","Yes","No","","10,500"
"1","A12009243","CS","3280","2430 Aqua Vista Blvd","LAUDERDALE ISLES RE-AMEND ","","$5,200,000","$5,100,000","5","6","1","¤6,114","Single","2002","3","Yes","Yes","Detached","¤10,883"
"1","A12002362","CS","3280","2614 Castilla Isle","LAUDERDALE SHORES REAMEN ","","$5,199,000","$4,000,000","6","7","0","4,719","Single","2000","2","Yes","Yes","Detached","¤9,000"
"1","F10527779","CS","3260","1627 Coral Ridge Drive","Coral Ridge 21-50 B ","","$5,195,001","$5,150,000","5","5","2","5,086","Single","2025","3","Yes","No","","11,949"
"1","A11916704","CS","3160","2100 N Ocean Blvd Unit#30A","PALMS TOWER ONE CONDO The Palms","","$5,195,000","$4,500,000","3","3","1","¤4,738","Condo","1999","2","","Yes","",""
"1","A11836347","CS","3280","2340 Aqua Vista Blvd","LAUDERDALE ISLES RE-AMEND ","","$5,175,000","$4,615,000","4","5","","¤3,736","Single","1989","2","Yes","Yes","Detached","¤11,543"
"1","F10535492","CS","3260","1400 Middle River Drive","Coral Ridge 21-50 B ","","$5,000,000","$4,510,000","5","6","0","4,515","Single","2024","3","Yes","No","","13,041"
"1","A11678771","CS","3280","449 Isle Of Palms Dr","STILWELL ISLES ISLE OF PA ","","$5,000,000","$4,050,000","5","4","","¤4,251","Single","2003","2","Yes","Yes","Detached","¤12,999"
"1","A11634597","CS","3160","525 N Ft Lauderdale Beach Blvd Unit#801","Four Seasons Four Seasons","","$4,999,999","$4,750,000","2","2","1","¤2,031","Condo","2022","2","","Yes","",""
"1","F10511886","CS","3170","1628 Haskins Ave","Harbor Beach ","","$4,999,000","$4,999,000","4","5","0","4,100","Single","2025","3","Yes","No","","14,546"
"1","F10531697","CS","3160","153 N Seabreeze Boulevard Unit#1902-S","SELENE OCEANFRONT RESIDEN SELENE OCEANFRONT RESIDEN","","$4,998,000","$4,675,000","4","3","1","3,240","Condo","2025","2","","Yes","",""
"1","A11664930","CS","3160","3040 Center Ave","LAUDERDALE BEACH ","","$4,995,000","$4,400,000","5","5","1","¤4,446","Single","2015","2","Yes","No","Detached","¤12,002"
"1","F10397471","CS","3160","3509 NE 27th St","Lauderdale Beach 4-2 B ","","$4,995,000","$4,625,000","4","4","2","4,157","Single","2023","2","Yes","No","","6,255"
"1","F10436991","CS","3170","1600 E Lake Dr","Harbor Beach ","","$4,995,000","$3,980,000","5","6","0","5,982","Single","2018","2","Yes","No","","14,614"
"1","F10414497","CS","3170","2600 Inlet Dr","Breakwater 42-19 B ","","$4,995,000","$4,995,000","5","5","0","4,888","Single","2010","4","Yes","Yes","","6,331"
"1","F10541457","CS","3260","716 Intracoastal Dr","Sunrise 28-42 B ","","$4,995,000","$4,900,000","3","3","0","2,793","Single","1956","2","Yes","Yes","","15,009"
"1","F10499409","CS","3280","525 Coral Way","Las Olas Isles ","","$4,995,000","$4,650,000","8","6","0","5,455","Single","1939","2","Yes","Yes","","10,500"
