"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","R11088371","X","3170","3013-3019 Harbor Drive Unit#9c","Riva Residenze ","","$6,250,000","","3","3","1","3,397","Condo","2028","2","No","Yes","",""
"1","F10435274","X","3260","2110 Intracoastal Dr","Coral Ridge ","","$6,250,000","","4","3","0","4,908","Single","2009","2","Yes","Yes","","12,000"
"1","A11618516","X","3160","2200 N Ocean Blvd Unit#N1003","Auberge Beach Auberge Beach","","$6,199,000","","4","4","1","¤3,553","Condo","2018","2","","Yes","",""
"1","F10528648","X","3280","701 Flamingo Drive","Riviera Isles ","","$6,199,000","","5","5","1","3,514","Single","2017","2","Yes","Yes","","7,500"
"1","F10525371","X","3280","2241 SE 17th Unit#703","Azul Condominium Azul Condominium","","$6,100,000","","3","3","1","2,718","Condo","2025","2","","Yes","",""
"1","F10499042","X","3280","2221 SE 17th Street Unit#601","Pier Sixty-Six Pier Sixty-Six","","$6,100,000","","3","3","1","2,896","Condo","2025","2","","Yes","",""
"1","A11724238","X","3600","1640 SE 7th St","RIO VISTA ISLES ","","$6,049,000","","5","5","1","¤4,711","Single","2017","2","Yes","Yes","Attached","¤9,375"
"1","F10528900","X","3160","3318 NE 16th Pl","LAS OLAS BY THE SEA EXT ","","$5,999,999","","6","7","0","4,600","Single","2026","2","Yes","No","","8,107"
"1","A12000984","X","3080","168 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$5,990,000","","5","5","1","¤4,632","Single","1998","2","Yes","Yes","Detached","¤10,800"
"1","F10449992","X","3280","431 SAN MARCO DR","LAS OLAS ISLES ","","$5,990,000","","7","6","1","5,785","Single","1974","3","Yes","Yes","","11,000"
"1","R11088366","X","3170","3013-3019 Harbor Drive Unit#7a","Riva Residenze ","","$5,975,000","","3","3","1","3,395","Condo","2028","2","No","Yes","",""
"1","F10531678","X","3600","1523 SE 12th St","RIO VISTA ISLES ","","$5,975,000","","5","5","1","4,102","Single","2024","2","Yes","Yes","","8,125"
"1","R11032432","X","3600","1740 SE 7th Street","Rio Vista Isles ","","$5,950,000","","5","5","0","3,034","Single","1965","2","Yes","Yes","",""
"1","F10416065","X","3600","925 N Rio Vista Blvd","Rio Vista C J Hectors Res ","","$5,950,000","","4","3","0","3,793","Single","1942","5","Yes","Yes","","15,027"
"1","A11906858","X","3160","2200 N Ocean Blvd Unit#N401","Auberge Beach Auberge Beach","","$5,900,000","","4","6","0","3,422","Condo","2018","2","","Yes","",""
"1","A11608140","X","3280","623 Riviera Isle Dr","RIVIERA ISLE ","","$5,900,000","","5","5","1","¤5,996","Single","1996","3","Yes","Yes","Attached","¤12,500"
"1","A11488384","X","3280","166 Royal Palm Dr","NURMI ISLES ISLAND NO 1 ","","$5,900,000","","5","5","2","¤5,752","Single","1996","3","Yes","Yes","Detached","¤12,000"
"1","F10543864","X","3600","1517 SE 12th Court","Lauderdale Harbors ","","$5,899,000","","5","5","0","4,782","Single","2021","3","Yes","Yes","","7,700"
"1","A11891191","X","3600","1736 SE 14th St","LAUDERDALE HARBORS SECTIO ","","$5,880,000","","4","4","1","¤4,341","Single","2022","2","Yes","Yes","Attached","¤7,700"
"1","F10402275","X","3160","525 N Ft Lauderdale Beach Blvd Unit#803","Four Seasons Four Seasons","","$5,850,000","","3","3","1","2,340","Condo","2022","2","","No","",""
"1","F10497084","X","3170","525 N Fort Lauderdale Beach Blvd Unit#603","Four Seasons Four Seasons","","$5,800,000","","3","4","0","2,298","Condo","2022","1","","No","",""
"1","F10466550","X","3170","1628 Haskins Ave","HARBOR BEACH ","","$5,750,000","","4","5","0","4,026","Single","2025","3","Yes","No","","14,546"
"1","F10468089","X","3260","2885 NE 29th St","Old Coral Ridge ","","$5,750,000","","7","6","1","7,382","Single","2003","2","Yes","Yes","","13,720"
