"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26011944","AC","3700","313 NE 2nd Street Unit#602","NOLA LOFTS CONDOMINIUM I ","","$374,900","","1","1","0","755","Condo","2005","","No","No","","0"
"1","A11948356","AC","3460","1403 NW 2nd St","SEMINOLE FOREST Tango Village","","$300,000","","2","2","1","¤1,250","Townhouse","2008","1","","No","",""
"1","B26044902","AC","3400","1406 NW 11th Street","LAUDERDALE MANORS ADD ","","$299,000","","2","1","0","894","Single","1953","","No","No","","8,571"
"1","A11982397","AC","3470","1201 River Reach Dr Unit#102","RIVER REACH CONDOMINIUM I River Reach","","$289,000","","1","1","1","¤971","Condo","1981","1","","Yes","",""
"1","B26027854","AC","3470","1333 SW 4th Court","VILLAGE AT SAILBOAT BEND ","","$279,900","","1","1","0","856","Condo","2005","","No","No","","0"
"1","B26026331","AC","3470","900 River Reach Drive Unit#312","RIVER REACH CONDOMINIUM I ","","$275,000","","2","2","0","1,025","Condo","1971","","No","No","","0"
"1","B26034855","AC","3370","2607 NE 8th Avenue Unit##58","WILTON VILLAGE CONDO ","","$269,000","","2","1","0","806","Condo","1975","","No","No","","0"
"1","A12002195","AC","3234","3050 NE 16th Ave Unit#605","RIVER TERRACE CONDO RIVER TERRACE","","$259,900","","2","2","0","¤912","Condo","1972","0","","Yes","",""
"1","B26045898","AC","3460","511 NW 17th Avenue","DORSEY PARK SECOND ADD ","","$259,900","","3","1","0","1,272","Single","1954","","No","No","Ranch","5,161"
"1","F10544797","AC","3700","533 NE 3rd Avenue Unit#321","Sole Sole","","$259,500","","1","1","0","960","Condo","2006","1","","No","","0"
"1","B26034259","AC","3370","2965 NE 8th Terrace Unit#101","MIDDLE RIVER HOMES CONDO ","","$249,900","","2","2","0","761","Condo","1986","","No","No","","0"
"1","A11892797","AC","3480","900 SW 12th St Unit#305","RIO NUEVO A CONDO Rio Nuevo","","$249,000","","2","2","","¤1,000","Condo","1966","0","","Yes","",""
"1","B26016828","AC","3370","16 NE 20th Court Unit#B8","MANOR GROVE VILLAGE THREE  ","","$239,000","","2","1","1","960","Condo","1972","","No","No","","0"
"1","F10546042","AC","3260","815 Middle River Drive Unit#Unit 215","MIDDLE RIVER VILLAS CONDO Middle River Villas","","$219,000","","1","1","0","560","Condo","1964","","No","No","","0"
"1","A12032391","AC","3160","3000 N Ocean Blvd Unit#303","EAST SHORE CONDO East Shore","","$210,000","","1","2","0","¤598","Condo","1981","0","","No","",""
"1","B26015045","AC","3600","1475 SE 15th Street Unit##314","EMBASSY CONDO APTS ","","$209,900","","1","1","0","570","Condo","1966","","No","Yes","","0"
"1","B26038808","AC","3370","2741 NE 8th Avenue Unit#15","WILTON COMMONS CONDOMINIUM ","","$174,900","","2","1","0","600","Condo","1970","","No","No","","0"
"1","F10429447","AC","3260","2900 NE 30th Street Unit#5a","Lauderdale tower Lauderdale tower","","$172,000","","1","1","0","730","Condo","1964","1","","Yes","","0"
"1","B26015589","AC","3160","625 Antioch Avenue Unit#110","HARWICK HOUSE INC CONDO ","","$150,000","","1","1","0","670","Condo","1970","","No","No","","0"
"1","A11943243","PS","3280","340 San Marco Dr","CORAL ISLES ","","$10,999,000","","5","6","1","¤6,936","Single","2026","3","Yes","Yes","Detached","¤11,000"
"1","F10545682","PS","3280","119 N Gordon Road","Victoria Isles 15-67 B ","","$10,250,000","","6","6","1","6,935","Single","2025","2","Yes","Yes","","14,443"
"1","B26000781","PS","3170","4 Isla Bahia Drive","ISLA BAHIA ","","$9,900,000","","5","4","1","5,287","Single","1996","2","Yes","Yes","","12,363"
"1","F10551305","PS","3600","1528 SE 11th Street","RIO VISTA ","","$8,950,000","","5","5","1","4,935","Single","2026","5","Yes","Yes","","9,375"
"1","F10549636","PS","3170","2540 Mercedes Drive","Harbor Beach ","","$6,800,000","","4","4","1","3,750","Single","1977","2","Yes","Yes","","12,350"
"1","R11144969","PS","3260","2401 NE 13th Street","BEACH WAY HEIGHTS UNIT ","","$5,250,000","","5","5","1","5,708","Single","2020","2","Yes","No","Garden Apartment","11,678"
"1","F10550175","PS","3600","1037 SE 12th Way","RIO VISTA ","","$4,795,000","","5","5","1","3,981","Single","2026","2","Yes","No","","7,664"
"1","B26040661","PS","3280","449 Isle Of Palms Drive","STILWELL ISLES ISLE OF PAL ","","$4,750,000","","5","4","0","4,251","Single","1940","2","Yes","Yes","Substantially Remodeled","12,999"
"1","F10476681","PS","3280","1609 SE 4th Street","Colee Hammock 1-17 B ","","$4,749,000","","5","5","1","4,594","Single","2025","2","Yes","No","","7,250"
"1","B26039226","PS","3260","1425 Middle River Drive","CORAL RIDGE ","","$4,475,000","","4","5","0","3,425","Single","1961","2","Yes","Yes","","19,295"
"1","F10516878","PS","3600","1316 N Rio Vista Boulevard","Rio Vista ","","$4,395,000","","5","5","1","3,968","Single","2026","2","Yes","No","","8,105"
"1","B26009046","PS","3280","87 Isle Of Venice Drive Unit#Ph 502s","NURMI ISLES ISLAND NO 4 ","","$4,200,000","","4","4","1","2,960","Condo","2026","2","Yes","No","Penthouse","0"
"1","B26044598","PS","3280","87 Isle Of Venice Drive Unit#Ph 501n","NURMI ISLES ISLAND NO 4 ","","$4,100,000","","4","4","1","2,960","Condo","2026","2","Yes","No","Penthouse","0"
"1","F10550153","PS","3260","2221 NE 19th Street","North Bal Harbour 45-3 B ","","$3,999,000","","4","4","1","3,258","Single","2023","2","Yes","Yes","","8,800"
"1","A11984804","PS","3270","417 NE 10th Ave","HOLMBERG & MC KEES ","","$3,900,000","","5","5","1","¤2,019","Single","2026","2","Yes","No","Attached","¤8,100"
"1","A11870424","PS","3160","3321 NE 16th Pl","LAS OLAS BY THE SEA EXT ","","$3,747,000","","5","5","","¤3,747","Single","1990","5","Yes","No","Attached","¤9,354"
"1","F10355882","PS","3600","1407 SE 9 Street","Rio Vista ","","$3,395,000","","5","5","1","3,622","Single","2025","2","Yes","No","","6,698"
"1","B26014874","PS","3470","719 SW 11th Street","CROISSANT PARK RIVER SEC ","","$3,350,000","","6","5","0","4,676","Single","2026","3","Yes","No","","9,792"
"1","F10556081","PS","3480","1212 Avocado Isle","Citrus Isles ","","$3,300,000","","5","5","0","3,250","Single","2025","2","Yes","Yes","","6,400"
"1","F10538430","PS","3260","2500 NE 14th Street","Beach Way Heights ","","$3,250,000","","4","4","0","2,758","Single","2025","3","Yes","No","","10,500"
"1","B26048550","PS","3160","435 Bayshore Drive Unit#602","ADAGIO FORT LAUDERDALE BEA ","","$3,195,000","","3","3","1","2,795","Condo","2019","2","No","Yes","","0"
"1","F10499825","PS","3170","701 N Fort Lauderdale Beach Boulevard Unit#302","PARAMOUNT FT LAUDERDALE C PARAMOUNT FT LAUDERDALE C","","$3,195,000","","4","4","1","3,202","Condo","2017","2","","Yes","",""
"1","B26027847","PS","3600","804 N Rio Vista Boulevard","RIO VISTA C J HECTORS RESU ","","$3,195,000","","5","5","0","3,939","Single","2006","2","Yes","No","","6,000"
"1","A12009548","PS","3260","201 NE 27th Dr","SUNSET MANORS AMEN PLAT ","","$2,850,000","","4","4","1","¤3,000","Single","2026","2","Yes","No","Detached","¤10,034"
"1","F10537254","PS","3160","151 N Seabreeze Boulevard Unit#2503-e","Selene Oceanfront Selene Oceanfront","","$2,599,000","","2","3","0","1,680","Condo","2025","1","","Yes","","0"
"1","F10545293","PS","3270","539 NE 10th Avenue","Holmberg & Mc Kees Sub 1- ","","$2,595,000","","4","4","1","2,776","Single","2019","1","Yes","No","","8,100"
"1","A11980729","PS","3280","1325 NE 16th Ter","LakeRidge PoinsettiaHeight ","","$2,500,000","","4","4","1","¤3,430","Single","2026","2","Yes","No","Detached","¤6,749"
"1","F10502607","PS","3600","1749 SE 9th Street","Rio Vista Isles ","","$2,500,000","","4","3","0","2,598","Single","1951","1","Yes","Yes","","6,250"
"1","F10528438","PS","3600","1532 SE 12th Street Unit#302","Vela Vista Vela Vista","","$2,395,000","","3","3","1","3,522","Condo","2016","3","","Yes","",""
"1","A12047882","PS","3370","2015 NE 4th Ave","WILTON MANORS FIRST ADD ","","$2,275,000","","4","4","1","3,755","Single","2025","2","Yes","No","Detached","¤6,832"
"1","A11928035","PS","3160","530 Birch Road Unit#502","BUNGALOW EAST BUNGALOW EAST","","$2,250,000","","3","3","","","Condo","2027","2","","No","",""
"1","B26020495","PS","3160","2724 N Ocean Boulevard","LAUDERDALE BEACH ","","$1,999,999","","4","4","1","2,499","Single","1981","","Yes","No","","4,136"
"1","B26040627","PS","3380","1720 NE 17th Avenue","PROGRESSO ","","$1,995,000","","3","3","0","2,380","Single","1951","","Yes","No","Substantially Remodeled","8,508"
