"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","F10478300","C","3470","911 SW 15th Ter","","$1,200,000","4","3,456","I04","1957","6","Riverside 3 7-17 B","No","No",""
"1","F10492340","C","3380","2010 NE 18th St","","$1,195,000","","2,508","I04","1961","5","Lauder-Gate 26-48 B","No","No",""
"1","A11651870","C","3600","509 SE 19th St","","$1,175,000","","¤2,886","I03","1958","4","¤CROISSANT PARK","Yes","No",""
"1","F10492337","C","3380","2014 NE 18th St","","$1,165,000","4","2,474","I04","1957","6","Lauder-Gate 26-48 B","No","No",""
"1","A11573474","C","3470","1175 SW 16th Ave","","$1,165,000","4","¤1,502","I04","1987","8","¤RIVERSIDE PARK ADD AMEN P","No","No",""
"1","A11922403","C","3240","1615 NE 9th St","","$1,150,000","3","¤2,295","I03","1951","6","¤PROGRESSO","No","No",""
"1","F10387305","C","3470","924 W Las Olas Blvd","","$1,150,000","4","2,052","I04","1962","8","Waverly Place 2-19 D","No","No",""
"1","F10444084","C","3720","263 NW 40th Ct","","$1,150,000","3","3,000","I03","1962","10","PROSPECT GARDENS","No","No",""
"1","A11630135","C","3370","735 NE 15th St","","$1,149,000","","¤2,270","I04","1968","4","¤NORFOLK GARDENS AMD PLAT","No","No",""
"1","A11723080","C","3370","1717 NE 25th St","","$1,140,000","","¤3,151","I02","1975","6","¤MANOR SQUARE","No","No",""
"1","A11731603","C","3390","1640 NW 5th Ave","","$1,130,000","2","¤2,604","I02","1960","4","¤PROGRESSO","Yes","No",""
"1","F10538227","C","3250","2820 NE 49th St","","$1,125,000","","2,832","","1965","4","Coral Ridge Country Club","No","No",""
"1","F10546364","C","3270","1620 NE 7th Street","","$1,100,000","1","1,428","","1939","","VICTORIA PARK","No","No",""
"1","F10527462","C","3370","1432 NE 5th Ave","","$1,100,000","","2,242","I03","1965","0","Progresso 2-18 D","No","No",""
"1","A11894246","C","3380","1025 - 1027 NE 16th Ter","","$1,100,000","","¤4,223","I04","1959","4","¤PROGRESSO","No","No",""
"1","A11692215","C","3370","735 NE 15th St","","$1,099,000","4","¤2,270","I04","1968","4","¤NORFOLK GARDENS AMD PLAT","No","No",""
"1","A11668846","C","3390","200 NW 17th Ct","","$1,050,000","","¤4,330","I04","1966","7","¤BONIELLO PARK","No","No",""
"1","A11566143","C","3790","261 NW 42nd St","","$1,050,000","4","¤3,513","I04","1976","10","¤PROSPECT GARDENS","No","No",""
