"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11944938","CS","3390","1214 NW 4th Ave","","$1,200,000","2","3,166","I02","2025","8","¤PROGRESSO","No","No","$1,200,000"
"1","F10539809","CS","3260","2847-2853 NE 30 St","","$1,100,000","4","3,259","","1959","7","Coral Ridge","No","No","$1,100,000"
"1","F10475677","CS","3260","1416-1420 NE 26th Ave","","$1,175,000","3","2,981","I03","1949","6","Coral Ridge 21-50 B","No","No","$1,175,000"
"1","F10532294","CS","3280","560 NE 15th Avenue","","$1,195,000","4","2,700","","1953","","Las Olas Park Corr 6-12 B","No","No","$1,195,000"
"1","F10429890","CS","3380","2036 NE 21st AV","","$940,000","","2,629","I03","1989","3","North Ridge","No","No","$940,000"
"1","F10443995","CS","3270","808 NE 17th Way","","$1,125,000","2","1,900","I02","1958","4","Victoria Park","No","No","$1,125,000"
"1","F10486187","CS","3480","807 SW 14th Court","","$1,100,000","2","2,873","","1976","","Esmonda Gardens 22-20 B","Yes","No","$1,100,000"
"1","A11890035","CS","3250","2601 NE 32nd St","","$1,020,000","","¤3,178","I02","1975","7","¤CORAL RIDGE GALT ADD NO 2","No","No","$1,020,000"
"1","A11455989","CS","3470","1820 SW 9th St","","$985,000","2","2,576","I02","2024","4","¤RIVERSIDE PARK","No","No","$985,000"
"1","F10528734","CS","3360","1402 NE 34th Street","","$1,050,000","2","3,189","","1984","","Oakland Park 2-38 B","No","No","$1,050,000"
"1","A11735110","CS","3470","1185 SW 16th Ave","","$1,090,000","","¤1,502","I04","1988","4","¤RIVERSIDE PARK ADD AMEN P","No","No","$1,090,000"
"1","F10524401","CS","3380","1115 NE 15th Ave","","$1,060,000","5","2,911","","1954","8","Lake Ridge Gardens Condo","No","No","$1,060,000"
"1","F10514472","CS","3250","3200 NE 27th Ave","","$950,000","","2,903","I02","1965","4","Coral Ridge Galt Add 2","No","No","$950,000"
"1","F10488210","CS","3600","619 SE 14th Ct","","$1,079,000","5","3,130","I04","1972","5","EVERGLADE LAND SALES CO","No","No","$1,079,000"
"1","F10492333","CS","3370","1645 N Dixie Hwy","","$1,045,000","","2,610","I04","1965","5","Lauderdale Park 6-33 1/2","No","No","$1,045,000"
"1","F10538341","CS","3270","1640 NE 4th Place","","$750,000","3","3,399","","1971","","Middle River Park 5-28 B","No","No","$750,000"
"1","F10446862","CS","3370","45 NE 24th St","","$1,060,000","4","2,326","I04","1976","8","Petite","No","No","$1,060,000"
"1","F10492114","CS","3380","1204 NE 17th Way","","$1,029,000","5","2,622","I04","1969","5","Progresso 2-18 D","No","No","$1,029,000"
"1","A11774974","CS","3240","1413 NE 15th Ave","","$970,000","3","¤2,079","I02","1963","7","¤VERENA PARK","No","No","$970,000"
"1","F10534444","CS","3370","1924 NE 26th St","","$1,000,000","4","3,488","","1975","8","Coral Point 31-27 B","No","No","$1,000,000"
"1","A11571173","CS","3270","823 NE 19th Ave","","$900,000","","¤3,776","I03","1944","4","¤PROGRESSO","No","No","$900,000"
"1","A11646166","CS","3790","261 NW 42nd St","","$975,000","","¤3,513","I04","1976","10","¤PROSPECT GARDENS","No","No","$975,000"
"1","A11796549","CS","3260","2808 Middle River Dr","","$930,000","","¤2,882","I02","1956","8","¤CORAL RIDGE GALT ADD NO 1","No","No","$930,000"
"1","A11768640","CS","3270","211 NE 16th Ave","","$984,536","","¤3,161","I03","1936","5","VICTORIA PARK","No","No","$984,536"
"1","A11516694","CS","3270","1508 NE 6th St","","$989,000","2","¤1,609","I02","1970","4","¤LAS OLAS PARK CORR PLAT","No","No","$989,000"
"1","R10982501","CS","3370","2036 NE 26th Street Unit#1","","$925,000","","2,248","I04","1956","","CORAL POINT","No","No","$925,000"
"1","F10508330","CS","3600","617 SE 16th St","","$900,000","4","2,585","I04","1965","5","Everglade Land Sales Co F","No","No","$900,000"
"1","A11980332","CS","3270","412 NE 14th Ave","","$900,000","","¤2,322","I04","1951","8","¤LAS OLAS PARK CORR PLAT","No","No","$900,000"
"1","F10444961","CS","3270","431-433 NE 15th Ave","","$914,000","2","1,729","I02","1954","8","Las Olas Park Corr 6-12 B","No","No","$914,000"
"1","B26023595","CS","3380","1524 N Victoria Park Road","","$850,000","2","2,392","","1971","","PROGRESSO","No","No","$850,000"
"1","F10478256","CS","3380","1400 NE 22nd St","","$870,000","","1,719","I02","1960","13","Edgewater Estates 1st Add","No","No","$870,000"
"1","F10518254","CS","3450","210 -216 NE  216 40th Street","","$840,000","4","3,102","","1970","","Boniello Gardens 2nd Add","No","No","$840,000"
"1","F10480161","CS","3470","551 SW 13th Ave","","$985,000","","2,619","I04","1959","5","Riverside Add Amd 1-13 B","No","No","$985,000"
"1","A11585196","CS","3480","716 SW 14th Ct","","$990,000","2","¤2,764","I02","1970","5","¤ESMONDA GARDENS","Yes","No","$990,000"
"1","F10486192","CS","3480","825 SW 14th Street","","$915,000","2","2,944","","1968","","Island View 33-2 B","No","No","$915,000"
"1","F10536567","CS","3380","1210 NE 16th Ave","","$960,000","2","1,409","","1958","4","Progresso 2-18 D","Yes","No","$960,000"
