"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1001","A11922031","CS","31","4 No Address","$2,700","0.0310","1,361","","¤0100","FLAMINGO VILLAGE RESUB","","No","Zoned Residential","Residential","$2,700"
"1001","A11935849","CS","5940 Florida Other","XXX Broadway Ave","$5,000","0.4200","","","","Lehigh","","No","Zoned Residential","Residential","$5,000"
"1001","A11888349","CS","5940 Florida Other","Lot 4 NE 156th Ct","$7,000","0.2300","10,019","Less Than 1/4 Acre Lot","Res","WILLISTON HIGHLANDS GOLF &","Legal Access Road, City/County Maintained, Public Road","No","Zoned Residential","Residential","$7,000"
"1001","A11888309","CS","5940 Florida Other","Lot 11 NE 155th Ter","$7,000","0.2300","10,019","Less Than 1/4 Acre Lot","Res","WILLISTON HIGHLANDS GOLF &","Legal Access Road, City/County Maintained, Public Road","No","Zoned Residential","Residential","$7,000"
"1001","F10515855","CS","5940 Florida Other","118 N Carolina Dr","$7,000","0.4600","20,038","","","ST JOHNS RIVERSIDE ESTATE","","No","Zoned Residential","Residential","$7,000"
"1001","A11971236","CS","5940 Florida Other","0 KUDER RANCH RD","$6,000","1.2200","","","","DEVONWOOD","","No","Zoned Residential","Residential","$6,000"
"1001","F10506177","CS","5940 Florida Other","112 Hickory Circle","$6,000","0.3500","","","","INTERLACHEN LAKES ESTATES","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$6,000"
"1001","R11142344","CS","5940 Florida Other","243 Iowa Avenue","$5,900","0.2100","","Less Than 1/4 Acre Lot","R-2","COOPER LAKE ESTATES","","No","","Single","$5,900"
"1001","R11109201","CS","5940 Florida Other","206 Wales Street","$5,000","0.2300","","Less Than 1/4 Acre Lot","R-2","INTERLACHEN LAKES ESTATES","","No","","Unimproved Agri/Recreatn/Moblhome","$5,000"
"1001","A11978620","CS","5940 Florida Other","N/A N/A","$4,500","1.1000","","","","N/A","","No","Zoned Residential","Residential","$4,500"
"1001","A11935874","CS","5940 Florida Other","1203 E 4TH ST","$4,900","0.3500","","","","Lehigh Acres","","Yes","Zoned Residential","Residential","$4,900"
"1001","A11922017","CS","59","2 No Address","$4,500","0.0110","479","","¤0101","ARISTOTLE SUB PHASE I","","No","Zoned Residential","Residential","$4,500"
"1001","F10544353","CS","5940 Florida Other","0 Holopaw Groves Road","$4,500","0.1500","6,534","Less Than 1/4 Acre Lot","Rural","HP215 HOLOPAW","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$4,500"
"1001","A11970045","CS","50","6200 SW 152nd St","$3,400","0.0300","","Less Than 1/4 Acre Lot","¤6200","ROYAL HRB YACHT CL MARINA","Other Road","Yes","Boat Dock or Dockominium","Other","$3,400"
