"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","F10413243","C","3600","1725 SE 13th Street","$4,495,000","0.2500","7,700","Less Than 1/4 Acre Lot","RS-8","Lauderdale Harbors Sec A","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10470888","C","3600","1725 SE 13th Street","$4,125,000","0.1800","7,700","Less Than 1/4 Acre Lot","RS-8","Lauderdale Harbors Sec A","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10455929","C","3600","1524 SE 13th St","$3,750,000","0.1768","7,700","Less Than 1/4 Acre Lot","RS-8","Lauderdale Harbors Sec A","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential",""
"1","A11561722","C","3470","1501 SW 4th Ct","$2,995,000","0.2280","9,934","Less Than 1/4 Acre Lot","¤RS-8","GILL ISLES","","Yes","Zoned Residential","Residential",""
"1","F10505256","C","3270","743 N Victoria Park Rd","$2,990,000","18,137.0000","7,276","","RS-8","Victoria Highlands Amd","Public Road","No","Zoned Residential","Residential",""
"1","R11066566","C","3480","2060 SW 16th Court","$2,750,000","1.3400","","","RS-8","STARLIGHT LANDING","City/County Maintained","Yes","","Single",""
"1","A11583790","C","3160","3301 NE 17th Ct","$2,700,000","0.1955","8,518","","¤RS-8","LAS OLAS BY THE SEA EXT","","Yes","Zoned Residential","Residential",""
"1","A11733230","C","3470","710 SW 12th Ave","$2,700,000","0.3100","13,797","1/4 To Less Than 1/2 Acre Lot","¤RS-8","RIVERSIDE ADD AMEN PLAT","City/County Maintained, Public Road","Yes","Zoned Residential","Residential",""
"1","F10533563","C","3470","522 SW 9th Terrace","$2,650,000","0.2500","11,415","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-8","Tropical Point 2 54-27 B","Paved Road","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11685687","C","3170","1236 E Lake Dr","$2,390,000","0.3000","13,050","1/4 To Less Than 1/2 Acre Lot","¤RS-4.4","HARBOR BEACH","","No","Zoned Residential","Residential",""
"1","A11780185","C","3160","3301 NE 14th Ct","$2,300,000","0.3000","14,057","","¤RS-8","LAS OLAS BY THE SEA EXT","","Yes","Zoned Residential","Residential",""
"1","A11437557","C","3360","1271 NE 32nd St","$2,200,000","0.4012","17,475","","¤IN","OAKLAND PARK","","No","Zoned Residential","Other",""
"1","F10454294","C","3600","805 SE 10th St","$2,200,000","0.2200","9,375","Less Than 1/4 Acre Lot","RS-8","RIO VISTA ISLES","","No","Zoned Residential","Residential",""
"1","A11847883","C","3270","450 NE 16th Ave","$2,100,000","1.4000","9,241","","¤RC-15","MIDDLE RIVER PARK","","No","Zoned Residential","Residential",""
"1","F10482240","C","3280","2513 E Las Olas Blvd","$2,000,000","0.0000","7,800","Less Than 1/4 Acre Lot","RS-8","Lauderdale Shores Corr","","Yes","Zoned Residential","Residential",""
"1","A11829528","C","3070","2512 Barbara Dr","$1,999,990","0.3000","13,658","1/4 To Less Than 1/2 Acre Lot","¤RS-8","HARBOR BEACH EXTENSION","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential",""
"1","A11730111","C","3160","3301 NE 17th Ct","$1,999,000","0.1955","8,518","","¤RS-8","LAS OLAS BY THE SEA EXT","","Yes","Zoned Residential","Residential",""
"1","F10462225","C","3160","2407 NE 33rd Ave","$1,995,000","0.2200","9,547","Less Than 1/4 Acre Lot","RD-15","LAUDERDALE BEACH EXT UNIT","","No","Zoned Duplex","Residential",""
"1","F10449821","C","3600","1111 Ponce De Leon Dr","$1,995,000","0.2000","8,304","","RS-8","Rio Vista Isles","","Yes","Zoned Residential","Residential",""
"1","F10477168","C","3260","1222 Bayview Dr","$1,990,000","0.0000","13,491","","RS-4.4","Beach Way Heights","","Yes","Zoned Residential","Residential",""
"1","A11593451","C","3240","1501 NE 26th Ave","$1,935,000","0.2700","11,821","","¤RM-15","CORAL RIDGE","","No","Zoned Residential","Residential",""
"1","A11923189","C","3470","1501 SW 4th Ct","$1,899,000","0.2280","10,000","Less Than 1/4 Acre Lot","¤RS-8","GILL ISLES","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential",""
"1","A11952842","C","3270","450 NE 16th Ave","$1,850,000","0.2000","9,241","","¤RC-15","MIDDLE RIVER PARK","","No","Zoned Residential","Residential",""
"1","A11689375","C","3130","3312 NE 16th Ct","$1,799,000","0.1430","6,250","","¤RS-8","LAS OLAS BY THE SEA EXT","","No","Zoned Residential","Residential",""
"1","A11740468","C","3160","3312 NE 16th Ct","$1,799,000","0.1435","6,198","","¤RS-8","LAS OLAS BY THE SEA EXT","","No","Zoned Residential","Residential",""
"1","F10520727","C","3170","2512 Barbara Dr","$1,695,000","0.3000","13,658","1/4 To Less Than 1/2 Acre Lot","RS-8","HARBOR BEACH EXTENSION","City/County Maintained, Paved Road, Public Road","No","Zoned Residential","Residential",""
"1","A11637968","C","3280","2601 Acacia Ct","$1,600,000","0.2000","9,000","","¤RS-8","REVISED PLAT","","No","Zoned Residential","Residential",""
"1","F10431894","C","3470","1131 SW 9 Ave","$1,500,000","0.3700","16,200","1/4 To Less Than 1/2 Acre Lot","RS-8","VALENTINES SUB B-29","","Yes","Zoned Residential","Residential",""
"1","A11963427","C","3160","3309 NE 16th Ct","$1,499,000","0.1432","6,236","Less Than 1/4 Acre Lot, East Of US 1, Regular Lot","¤RS-8","LAS OLAS BY THE SEA EXT","Legal Access Road, City/County Maintained, Paved Road","No","Zoned Residential","Residential",""
"1","F10531370","C","3270","727 NE 17th Ave","$1,400,000","0.1100","4,814","","RCS-15","Victoria Courts 9-49 B","","No","Zoned Residential","Residential",""
"1","F10480470","C","3140","254 Capri Avenue","$1,174,000","0.1600","7,150","","RS-5","Silver Shores-Sub Tr D","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10444086","C","3720","261 NW 40th Ct","$1,150,000","0.6200","27,200","1/2 To Less Than 3/4 Acre Lot","RM-16","PROSPECT GARDENS","City/County Maintained, Paved Road, Public Road","No","Zoned Multifamily","Residential",""
"1","F10445723","C","3370","20 NE 24th St","$1,100,000","0.4900","21,400","1/4 To Less Than 1/2 Acre Lot","N/A","LAZY LAKE","","Yes","Zoned Residential","Residential",""
"1","F10523059","C","3600","720 SE 7th Street","$1,089,000","0.1434","6,250","Less Than 1/4 Acre Lot","RES","Rio Vista","City/County Maintained","No","Zoned Residential","Residential",""
"1","F10512311","C","3500","247-251 SW 22nd Street","$1,070,000","0.3090","","Less Than 1/4 Acre Lot","RM15","Crossaint Park","Paved Road, Public Road","No","Zoned Residential","Residential",""
"1","A11677845","C","3370","2141 NE 18th Ave","$988,000","0.1600","6,998","","¤RS-5","MIDDLE RIVER MANOR","","Yes","Zoned Residential","Residential",""
"1","A11730483","C","3270","428 NE 17th Ave","$985,000","1.3300","5,826","","¤RC-15","VICTORIA PARK CORR AMEN P","","No","Zoned Duplex","Duplex",""
