status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Drake Tower,Condo,169000.0,850.0,199.0,301.0,-33.9,True,Underpriced
Pending,Osceola Park,Single Family,385000.0,1229.0,313.0,473.0,-33.8,False,Underpriced
Active,Everglades Club,Condo,425000.0,1369.0,310.0,468.0,-33.7,False,Underpriced
Active,Lake Mayan Apts Co Op Lake Mayan Apartments,Condo,240000.0,640.0,375.0,564.0,-33.5,True,Underpriced
Active,Village Sailboat Bend,Townhouse,512888.0,1977.0,259.0,390.0,-33.5,True,Underpriced
Active,Progresso,Single Family,498000.0,1428.0,349.0,522.0,-33.2,False,Underpriced
Active,Club Resort Residence Beach House Hilton,Condo,265000.0,584.0,454.0,679.0,-33.2,True,Underpriced
Active,Club Resort Residence Beach House Hilton,Condo,245000.0,533.0,460.0,687.0,-33.0,True,Underpriced
Active,Manor Grove Village One Manor Grove Village,Condo,139900.0,750.0,187.0,276.0,-32.5,False,Underpriced
Active,Las Olas,Condo,375000.0,1148.0,327.0,484.0,-32.5,False,Underpriced
Active,Tarpon River,Single Family,1025000.0,2340.0,438.0,649.0,-32.5,True,Underpriced
Active,Las Olas,Condo,458000.0,1447.0,317.0,469.0,-32.5,False,Underpriced
Active,Manor Grove Village One In,Condo,139900.0,750.0,187.0,275.0,-32.3,False,Underpriced
Active,Atlantic Towers Co Op,Condo,225000.0,805.0,280.0,413.0,-32.3,False,Underpriced
Active,Sunrise East,Condo,699000.0,1900.0,368.0,543.0,-32.2,True,Underpriced
Active,Wilton Shores East,Condo,159000.0,925.0,172.0,253.0,-32.1,True,Underpriced
Active,Las Olas,Single Family,2774999.0,4036.0,688.0,1012.0,-32.1,False,Underpriced
Active,Village Harbor Beach Co,Condo,200000.0,685.0,292.0,429.0,-32.0,False,Underpriced
Pending,Tropical Gardens,Single Family,1720000.0,3678.0,468.0,686.0,-31.9,True,Underpriced
Active,Edgewater Estates,Single Family,1275000.0,2582.0,494.0,725.0,-31.9,True,Underpriced
Active,Atlantic Towers Co Op,Condo,299000.0,805.0,371.0,543.0,-31.7,True,Underpriced
Active,Gallery One,Condo,109000.0,617.0,177.0,258.0,-31.5,True,Underpriced
Active,Gallery One,Condo,100000.0,554.0,181.0,263.0,-31.3,True,Underpriced
Active,Las Olas,Condo,294000.0,894.0,329.0,479.0,-31.3,False,Underpriced
Active,Horizon House,Condo,169000.0,710.0,238.0,346.0,-31.2,False,Underpriced
Active,Marine Tower,Condo,250000.0,870.0,287.0,416.0,-30.9,True,Underpriced
Pending,Nuriver Landing,Condo,399000.0,1246.0,320.0,462.0,-30.7,True,Underpriced
Pending,Yellowstone Park Amen Pla,Single Family,999768.0,2580.0,388.0,558.0,-30.6,False,Underpriced
Active,Victoria Park,Condo,190000.0,850.0,224.0,322.0,-30.6,False,Underpriced
Active,Ocean Garden,Condo,287495.0,930.0,309.0,446.0,-30.6,False,Underpriced
Active,Wilton Terrace,Condo,95000.0,670.0,142.0,204.0,-30.5,False,Underpriced
Active,Lauderdale Manors,Single Family,599000.0,1800.0,333.0,478.0,-30.4,False,Underpriced
Active,Ocean Sunrise Co Op Ocean Sunrise,Condo,159900.0,650.0,246.0,353.0,-30.3,False,Underpriced
Active,Village Harbor Beach Co,Condo,280000.0,932.0,300.0,431.0,-30.3,False,Underpriced
Active,River Oak,Single Family,1175000.0,2508.0,469.0,671.0,-30.2,False,Underpriced
Pending,Sea Tower,Condo,299000.0,769.0,389.0,557.0,-30.2,True,Underpriced
Active,Club Resort Residences,Condo,588999.0,1308.0,450.0,644.0,-30.1,True,Underpriced
Pending,East Shore,Condo,210000.0,598.0,351.0,501.0,-29.9,False,Underpriced
Active,Beachside Apts Co Op,Condo,249900.0,880.0,284.0,405.0,-29.9,False,Underpriced
Active,Progresso,Single Family,559000.0,2034.0,275.0,391.0,-29.8,False,Underpriced
Active,Plaza,Condo,199999.0,720.0,278.0,396.0,-29.8,True,Underpriced
Active,Village Harbor Beach,Condo,208000.0,685.0,304.0,432.0,-29.8,False,Underpriced
Active,Cliff Lake Villas Co Op,Condo,155000.0,800.0,194.0,275.0,-29.5,False,Underpriced
Active,Victoria Park,Condo,164000.0,690.0,238.0,337.0,-29.4,False,Underpriced
Pending,Berkley South,Condo,289000.0,1328.0,218.0,308.0,-29.3,False,Underpriced
Active,Michelle Ii,Townhouse,805600.0,2120.0,380.0,537.0,-29.2,False,Underpriced
Active,Michelle Ii,Townhouse,805600.0,2120.0,380.0,537.0,-29.2,False,Underpriced
Pending,Drake Tower,Condo,169900.0,790.0,215.0,303.0,-29.1,True,Underpriced
Active,Harbor View Apts,Condo,275000.0,1016.0,271.0,380.0,-28.9,True,Underpriced
Pending,Waverly Las Olas,Condo,399000.0,1321.0,302.0,424.0,-28.8,False,Underpriced
Active,Rio Nuevo,Condo,239000.0,1000.0,239.0,335.0,-28.6,True,Underpriced
Active,Place Des Arts,Condo,1900000.0,4445.0,427.0,598.0,-28.5,True,Underpriced
Active,Watergarden,Condo,374000.0,820.0,456.0,637.0,-28.4,True,Underpriced
Active,Las Olas,Condo,389000.0,1120.0,347.0,485.0,-28.4,False,Underpriced
