street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
SW 9th St,Tarpon River,Mainland inland,438.0,444.0,3.4,0.0,713500,12,4
Intracoastal Dr,Sunrise Tower,Intracoastal / canal waterfront,437.0,447.0,51.7,0.9,655000,39,23
NE 1st St,Victoria Park,Mainland inland,436.0,432.0,-26.2,0.0,1127000,10,1
SW 23rd St,Marina Landings,Mainland inland,436.0,462.0,-0.5,0.03,1185000,30,7
NE 4th Ave,Bamboo Flats,Downtown high-rise,435.0,420.0,-2.8,0.0,725500,5,4
NW 24th St,Mickels Nd To Wilton,Mainland inland,434.0,392.0,-11.3,0.0,867500,8,1
SW 18th St,Croissant Park,Mainland inland,433.0,436.0,-10.5,0.0,515000,11,0
SW 11th St,Lauderdale,Mainland inland,432.0,446.0,-6.7,0.0,625000,11,4
NW 7th Pl,Lincoln Park First,Mainland inland,428.0,354.0,0.0,0.0,302450,4,1
NE 16th St,Coral Ridge,Mainland inland,426.0,459.0,-46.2,0.2,648000,20,0
NE 19th Ave,Middle River Manor,Mainland inland,421.0,535.0,-32.0,0.47,875000,17,2
SW 14th St,Lauderdale,Mainland inland,420.0,457.0,-9.3,0.0,535000,5,0
SW 22nd St,Lauderdale,Mainland inland,419.0,459.0,-9.5,0.0,440000,7,3
NE 18th Ave,Victoria Park,Mainland inland,418.0,458.0,-29.2,0.28,803500,40,20
SW 13th Ct,Hendricks Heights,Mainland inland,417.0,420.0,4.8,0.0,670000,6,1
NE 2nd St,Nola Lofts,Mainland inland,417.0,415.0,9.0,0.0,854500,14,19
NE 3rd St,Stranahans,Mainland inland,416.0,545.0,-30.2,0.0,1000000,9,1
NW 8th Ave,Progresso,Mainland inland,416.0,403.0,1.6,0.0,453000,8,8
SW 9th Ave,Isles View,Mainland inland,416.0,414.0,0.2,0.0,575000,10,3
NW 4th Ave,Progresso,Mainland inland,412.0,432.0,0.6,0.0,445000,12,4
SW 17th St,Croissant Park,Mainland inland,411.0,408.0,-15.1,0.2,663750,10,1
NW 21st St,Meadowbrook,Mainland inland,409.0,378.0,-2.6,0.2,725000,5,2
NE 30th St,Lauderdale Tower,Intracoastal / canal waterfront,409.0,455.0,3.2,0.55,390000,33,14
NW 10th Pl,Lauderdale Manors,Mainland inland,408.0,340.0,21.8,0.0,319000,4,3
SW 10th St,Lauderdale,Mainland inland,408.0,426.0,-11.8,0.06,705250,18,4
SW 18th Ave,Robertson Park,Mainland inland,405.0,407.0,0.0,0.13,501000,15,1
NE 7th Ave,Ellington,Mainland inland,404.0,446.0,-1.9,0.0,720000,15,7
SW 5th Ave,Harbor Sound,Mainland inland,404.0,355.0,-4.3,0.0,758000,5,1
SW 12 Ave,Riverside Landing,Mainland inland,402.0,331.0,-2.8,0.0,847500,4,0
NW 7th Ave,Progresso,Mainland inland,401.0,417.0,-2.1,0.0,460000,21,6
NW 1st Ave,Progresso,Mainland inland,398.0,398.0,-2.8,0.0,480187,32,4
SW 19th St,Yellowstone Park Amen Pla,Mainland inland,398.0,420.0,-17.7,0.0,519000,8,5
NE 12th Ter,Pointe Middle River,Intracoastal / canal waterfront,398.0,474.0,0.0,0.75,885000,4,2
NW 9th Ter,Jenada Villas,Intracoastal / canal waterfront,396.0,432.0,4.9,0.5,612500,8,3
SE 17th St,Port Residences,Intracoastal / canal waterfront,395.0,424.0,-2.0,0.71,565000,14,15
NE 28th St,Coral Ridge Galt,Mainland inland,395.0,482.0,-43.7,0.17,599950,30,7
NE 5th Ave,Marvilla Condominium,Mainland inland,394.0,306.0,1.2,0.0,348750,12,0
NW 15th Way,Carver Park,Mainland inland,394.0,338.0,31.8,0.0,345000,7,2
Sunset Dr,Essex Tower,Mainland inland,390.0,394.0,1.2,0.35,472800,26,17
NE 17th Ct,Lauderdale Park,Mainland inland,389.0,426.0,-15.3,0.27,420000,15,2
SW 19th Ave,Shady Banks,Mainland inland,388.0,431.0,-9.1,0.11,615000,9,2
NW 17th Ave,Lincoln Park Sixth,Mainland inland,388.0,340.0,11.0,0.0,385000,5,5
SW 16th Ter,Shady Banks On New River,Mainland inland,386.0,430.0,2.7,0.0,560000,4,1
SW 13th Ave,Devonshire,Mainland inland,385.0,380.0,36.3,0.0,465000,5,0
NW 3rd Ave,Progresso,Mainland inland,383.0,424.0,-6.5,0.0,502000,12,4
NW 14th St,Lauderdale Manors,Mainland inland,382.0,332.0,14.0,0.0,359500,6,0
Wilton Dr,Isles City Lofts,Mainland inland,382.0,303.0,-5.3,0.0,492500,6,2
SE 5th Ave,Nuriver Landing,Intracoastal / canal waterfront,381.0,462.0,-11.8,0.51,429000,73,21
N Federal Highway,Waverly Las Olas,Mainland inland,381.0,378.0,-0.5,0.48,490000,21,19
NW 12th St,Lauderdale Manors,Mainland inland,381.0,334.0,13.7,0.0,354000,10,3
SE 12th Ct,Lauderdale Harbors,Mainland inland,379.0,423.0,-55.9,0.38,775000,13,2
