status,mls,area,address,neighborhood,sub_raw,list_price,sale_price,acre,psqft,lot_desc,zn,style,ptype,waterfront,road,lot_sqft,density,is_dock,acre_band,value,land_ppsf,corner,cul_de_sac,interior,irregular,oversized,flood,east_us1,west_us1
Sold,A11995558,12,"3575 Mystic Pointe Dr, 118",Mystic Pointe Marina Cond,MYSTIC POINTE MARINA COND,1150.0,1150.0,0.0,,Less Than 1/4 Acre Lot,¤5000,Boat Dock or Dockominium,Dockominium,True,Legal Access Road,,Dock,True,< 0.25 ac,1150.0,,False,False,False,False,False,False,False,False
Sold,R11125745,4180,7432 NE Orchid Bay Terrace,Boca Bay Colony,BOCA BAY COLONY,1200.0,1200.0,0.0021,,1/4 To Less Than 1/2 Acre Lot,,,,True,,91.476,,False,0.25–0.5 ac,1200.0,13.118194936376755,False,False,False,False,False,False,False,False
Sold,A11922009,21,1 No Address,Arch Creeks Estates,ARCH CREEKS ESTATES,100.0,100.0,0.007,300.0,,¤5700,Zoned Residential,Residential,False,,300.0,Single-family,False,< 0.25 ac,100.0,0.3333333333333333,False,False,False,False,False,False,False,False
Sold,A11922024,30,3 No Address,Smith Terrace,SMITH TERRACE,700.0,700.0,0.003,137.0,,¤5700,Zoned Residential,Residential,False,,130.68,Single-family,False,< 0.25 ac,700.0,5.356596265687174,False,False,False,False,False,False,False,False
Sold,R11162067,7040,Tbd Kenwood Road,Lakewood Park,LAKEWOOD PARK UNIT 10,800.0,800.0,0.36,,"1/2 To Less Than 3/4 Acre Lot, Corner Lot",RS-4Co,,Unimproved Agri/Recreatn/Moblhome,False,"County Road, Paved Road, Public Road",15681.599999999999,Single-family,False,0.5–0.75 ac,800.0,0.05101520253035405,True,False,False,False,False,False,False,False
Sold,A11914862,3280,"76 Isle Of Venice Dr, DOCK",Isles Venice Co Op,76 ISLE OF VENICE CO-OP,500.0,500.0,0.0,,East Of US 1,¤RMM-25,Boat Dock or Dockominium,Residential,True,"City/County Maintained, Paved Road",,Dock,True,,500.0,,False,False,False,False,False,False,True,False
Sold,A12003006,32,8425 Crespi Blvd,Biscayne Bch,BISCAYNE BCH SUB,250.0,250.0,1.0,12650.0,Less Than 1/4 Acre Lot,¤3900,Boat Dock or Dockominium,Dockominium,True,Other Road,12650.0,Dock,True,< 0.25 ac,250.0,0.019762845849802372,False,False,False,False,False,False,False,False
Pending,A11987591,42,93 Palm Ave,Palm Isles,PALM ISLAND,23500000.0,,0.0,30000.0,,¤2200,Zoned Residential,Residential,True,,30000.0,Single-family,False,0.5–0.75 ac,23500000.0,783.3333333333334,False,False,False,False,False,False,False,False
Pending,A10760403,32,1255 WEST AV,Miami Beach,MIAMI BEACH,19900000.0,,0.33,17250.0,1/4 To Less Than 1/2 Acre Lot,40/MUL M,Zoned Multifamily,Residential,False,City/County Maintained,17250.0,Multifamily,False,0.25–0.5 ac,19900000.0,1153.623188405797,False,False,False,False,False,False,False,False
Pending,A11961506,3112,1105 Hillsboro Mile,Hillsboro Mile,HILLSBORO MILE,17000000.0,,0.96,,3/4 To Less Than 1 Acre Lot,,Zoned Residential,Residential,True,,41817.6,Single-family,False,0.75–1 ac,17000000.0,406.5273951637588,False,False,False,False,False,False,False,False
