"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","A11643838","CS","3480","200 SW 25th St Unit#200","","$5,000","","","COM/Lease","","Automotive, Warehouse Space","Industrial","15,855","","$5,000","3"
"1","A11937859","CS","3250","2740 E Oakland Park Blvd Unit#205","","$4,427","¤CB","1983","COM/Lease","","Office Space, Professional","Office","15,000","","$4,427",""
"1","A11782064","CS","3170","1053 SE 17th St","","$3,225","¤B-1","1968","COM/Lease","","Retail Space","Retail","2,880","","$3,225",""
"1","A11949542","CS","3450","801 E Oakland Park Blvd","","$3,800","¤B-1","1949","COM/Lease","","Commercial/Residential Income, Office Space","Mixed Use","7,289","","$3,800",""
"1","A11831163","CS","3450","801 E Oakland Park Blvd","","$3,700","¤B-1","1949","COM/Lease","","Commercial/Residential Income, Special Purpose","Mixed Use","7,289","","$3,700",""
"1","A11763612","CS","3500","1301 SW 1st Ave","","$4,000","¤SRAC-SAw","1958","COM/Lease","Commercial Lease","Office/Warehouse Combination","Flex Space","32,862","","$4,000","1"
"1","A11641387","CS","3580","2011 W State Road 84 Unit#320-3","","$3,800","¤PUD","2024","COM/Lease","","Warehouse Space","Mixed Use","0","","$3,800",""
"1","A11619644","CS","3580","2011 W State Road 84 Unit#230-2","","$3,950","¤PUD","2009","COM/Lease","","Warehouse Space","Industrial","200,000","","$3,950",""
"1","A11956734","CS","3080","200 SE 19th St","","$3,800","¤ROA","1973","COM/Lease","","Commercial/Residential Income","Office","6,950","","$3,800",""
"1","A11757981","CS","3040","2215 S Federal Hwy","","$3,800","¤B-1","1955","COM/Lease","","Retail Space","Retail","16,873","","$3,800",""
"1","A11676550","CS","3390","720 NW 4th St","","$3,800","¤NWRAC-MU","1955","COM/Lease","Mixed Use","Adult Congregate, Church","Mixed Use","14,500","No","$3,800",""
"1","A11614871","CS","3370","1255 N flagler","","$3,600","","","COM/Lease","Commercial Lease","Office/Warehouse Combination, Store/Warehouse Combination","Flex Space","3,000","No","$3,600",""
"1","A11872397","CS","3500","215 SW 17th St","","$3,600","¤B-3","1960","COM/Lease","","Free Standing, Professional","Office","7,380","","$3,600",""
"1","R11051189","CS","3130","2631 E Oakland Park Boulevard Unit#205","","$3,400","CB","1964","COM/Lease","","","","","","$3,400",""
"1","A11795232","CS","3450","3225 N Andrews Ave Unit#B","","$3,000","¤B-1","1975","COM/Lease","","Professional, Retail Space","Office","42,820","","$3,000",""
"1","A11723402","CS","3150","2400 E Oakland Park Blvd Unit#201","","$2,800","¤B-1","1957","COM/Lease","","Restaurant/Bar","Restaurant/Entertainment","1,053","","$2,800",""
"1","A11512783","CS","3360","1995 E Oakland Park Blvd Unit#300","","$2,600","¤B-1","1995","COM/Lease","Commercial Office","Medical Office, Office Space","Office","33,482","No","$2,600",""
"1","A11666061","CS","3010","825 NE 11th St","","$2,500","","1963","COM/Lease","Commercial Lease","Warehouse Space","Industrial","12,753","","$2,500",""
"1","A11832302","CS","3250","2691 E Oakland Park Blvd Unit#300","","$2,500","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","$2,500",""
"1","A11615002","CS","3370","1255 N flagler","","$2,500","","","COM/Lease","","Office/Warehouse Combination, Store/Warehouse Combination","Flex Space","10,000","No","$2,500",""
"1","A11661989","CS","3424","1026-1030 NW 9th Ave","","$2,200","¤B-1","1961","COM/Lease","","Retail Space, Shopping Center","Retail","6,751","","$2,200",""
"1","A12029709","CS","3500","150 SE 12th St Unit#300","","$2,400","¤RO","1977","COM/Lease","","Medical Office, Office Space","Office","13,664","","$2,400",""
"1","A11808055","CS","3550","563 W OAKLAND PARK BLVD","","$2,400","","1974","COM/Lease","Commercial Lease","Retail Space, Shopping Center","Retail","23,014","No","$2,400",""
"1","A11621153","CS","3500","150 SE 12th St Unit#300","","$2,390","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","$2,390",""
"1","A11617870","CS","3250","2691 E Oakland Park Blvd Unit#304","","$2,350","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","$2,350",""
"1","A12016169","CS","3250","2740 E Oakland Park Blvd Unit#206","","$1,905","¤CB","1983","COM/Lease","","Office Space, Professional","Office","15,000","","$1,905",""
"1","A11847445","CS","3800","1222 S Andrews Ave Unit#503","","$1,900","¤SRAC-SAe","1960","COM/Lease","","Office Space, Professional","Office","6,250","No","$1,900",""
"1","A11921071","CS","3370","24 East Oakland Park Boulevard Unit#24","","$1,900","B-2","","COM/Lease","Mixed Use","Consumer Service, Retail Space","Mixed Use","40,000","No","$1,900",""
"1","A11787994","CS","3370","1040-52 E Oakland Park Blvd Unit#1043","","$1,800","¤MR","1961","COM/Lease","","Industrial, Warehouse Space","Industrial","24,725","No","$1,800",""
"1","A11723068","CS","3370","287 NE 31st St","","$1,750","¤B-1","1974","COM/Lease","","Building Trades, Professional","Office","5,738","","$1,750",""
"1","R11051181","CS","3130","2631 E Oakland Park Boulevard Unit#106","","$1,600","CB","1964","COM/Lease","","","","","No","$1,600",""
"1","A12041060","CS","3800","800 SE 3rd Ave Unit#4 -S","","$1,500","¤RAC-CC","1986","COM/Lease","","Office Space, Professional","Office","0","","$1,500",""
"1","A11831962","CS","3370","1255 N flagler","","$1,200","","","COM/Lease","","Office/Warehouse Combination, Retail Space","Flex Space","10,000","No","$1,200",""
"1","A11933824","CS","3250","2727 E Oakland Park Blvd Unit#103","","$950","¤CB","1972","COM/Lease","","Medical Office, Office Space","Office","15,005","","$950",""
"1","A11621187","CS","3500","150 SE 12th St Unit#101-3","","$775","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","$775",""
"1","A11686039","CS","3500","150 SE 12th St Unit#101-1","","$745","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","$745",""
"1","A11832493","CS","3500","150 SE 12th St Unit#201-3","","$740","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","$740",""
"1","A11832277","CS","3250","2691 E Oakland Park Blvd Unit#203D","","$700","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","$700",""
"1","A11832262","CS","3250","2691 E Oakland Park Blvd Unit#203A","","$700","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","$700",""
"1","A11832486","CS","3500","150 SE 12th St Unit#201-2","","$690","¤RO","1977","COM/Lease","","Medical Office, Office Space","Office","13,664","","$690",""
"1","A11832483","CS","3500","150 SE 12th St Unit#101-","","$625","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","$625",""
"1","A11832478","CS","3500","150 SE 12th St Unit#101","","$625","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","$625",""
"1","A11737969","CS","3500","150 SE 12th St Unit#201-2","","$650","¤RO","1977","COM/Lease","","Medical Office, Office Space","Office","13,664","","$650",""
"1","A11830049","CS","3560","101 NE 3rd Ave","","$900","¤RAC-CC","1987","COM/Lease","","Office Space","Office","37,500","","$900",""
"1","A11596374","CS","3470","15 NW 9th Ave","","$40","¤B-3","1954","COM/Lease","Commercial Lease","Office/Warehouse Combination, Warehouse Space","Industrial","7,000","No","$40","6"
"1","A11998799","CS","3280","2866 E Oakland Park Blvd","","$36","¤CB","1966","COM/Lease","","Medical Office","Office","15,010","","$36",""
"1","A11689903","CS","3370","79-199 E Oakland Park Blvd Unit#179-189","","$24","¤B-1","1981","COM/Lease","Commercial Retail","Retail Space","Retail","51,631","","$24",""
"1","A11514713","CS","3800","200 S Andrews Ave Unit#500","","$9,139","¤RAC-CC","1986","COM/Lease","Commercial Lease","Free Standing, Office Space","Office","182,000","No","$9,139",""
"1","A11865029","CS","3280","1217 E Broward Blvd","","$29","¤RO","1958","COM/Lease","Commercial Office","Office Space, Professional","Office","6,750","No","$29",""
"1","A11807268","CS","3250","2810 E Oakland Park Blvd Unit#305","","$4,532","¤CB","1978","COM/Lease","Commercial Office","Office Space, Professional","Office","15,010","","$4,532",""
"1","A11504856","CS","3740","216 NE 33rd St Unit#240 F","","$19","¤I-1","1975","COM/Lease","Industrial Lease","Light Manufacturing, Office/Warehouse Combination","Industrial","3,225","No","$19","1"
"1","A11975059","CS","3670","119 E Oakland Park Blvd Unit#119","","$1,300","¤B-1","1981","COM/Lease","Commercial Retail","Retail Space, Shopping Center","Retail","51,631","No","$1,300",""
"1","A11975002","CS","3770","165 E Oakland Park Blvd Unit#165","","$27","¤B-1","1981","COM/Lease","Commercial Retail","Retail Space, Shopping Center","Retail","51,631","No","$27",""
"1","A11806751","CS","3460","901 NW 11th Ave","","$568,887","¤B-3","1990","COM/Lease","Commercial Lease","Office Space, Retail Space","Special Purpose","73,433","No","$568,887",""
"1","A11598131","CS","3560","101 NE 3rd Ave Unit#1500","","$1,500","¤RAC-CC","1987","COM/Lease","","Office Space, Professional","Office","37,500","","$1,500",""
"1","A12040868","CS","","2901 SW 3rd Ave Unit#4","","$1,725,000","I","2000","COM/Sale","","","Industrial","5,170","","$1,725,000",""
"1","A12003177","CS","","901 NW 11th Ave Unit#1-2, 7-9, 15","","$463,002","B-3","1990","COM/Lease","","","Special Purpose","73,433","","$463,002",""
"1","F10540017","PS","3800","100 SE 21st Street Unit#1-8","","$1,750,000","RMM-25","1977","COM/Sale","","","Multifamily","14,299","","",""
"1","F10473738","PS","3700","441 NE 3 Unit#206","","$1,000","RAC-CC","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","12,250","","","0"
"1","B26007016","PS","3500","307 SW 5th Street","","$45","RAC-SMU","2025","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Retail","","","",""
"1","F10530725","PS","3370","1101 NE 8th Avenue","","$29","B-3","","COM/Lease","","Warehouse Space","Commercial","11,893","","",""
"1","A11911232","PS","3810","809 NW 1st St","","$20","¤B-3","1958","COM/Lease","","Industrial, Warehouse Space","Industrial","14,000","","",""
"1","F10525613","R","3332","3046 NE 12th Terrace","","$20","WF","","COM/Lease","","Warehouse Space","Mixed Use","5,760","","$20",""
"1","F10484007","R","3450","777 E Oakland Park Boulevard","","$30","B-1","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","23,244","","$30",""
"1","F10465119","R","3260","2500 N Federal Highway","","$7,079","B-1","","COM/Lease","","Medical Office, Office/Warehouse Combination, Office Space","Commercial","35,403","","$7,079",""
"1","F10461760","R","3280","12 NE 12th Avenue","","$6,500","RC-15","","COM/Lease","","Warehouse Space","Commercial","9,099","","$6,500",""
"1","B26030015","R","3370","1501 NE 4th Avenue","","$4,800","CB","1986","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Office","","","$4,800",""
"1","F10437712","R","3470","441-443 SW 5th Street","","$5,200","RAC-SMU","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Mixed Use","14,450","","$5,200",""
