"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","F10522889","A","3380","1231 NE 8th Avenue","","$2,500","B-3","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","16,888","","",""
"1","A11771440","A","3720","515 W Oakland Park Blvd","","$2,400","¤B-1","1974","COM/Lease","Commercial Lease","Retail Space","Retail","23,014","","",""
"1","A11907987","A","3250","2691 E Oakland Park Blvd Unit#304","","$2,300","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","",""
"1","A11958276","A","3800","200 S Andrews Ave Unit#102","","$2,300","¤RAC-CC","2007","COM/Lease","","Medical Office, Professional","Retail","1,600","","",""
"1","B26044047","A","3600","1596 Cordova Road","","$2,063","B-1","1988","COM/Lease","","Mall Enclosed, Shopping Center, Strip Store, Warehouse Space","Commercial","","","","1"
"1","A12034670","A","3370","44 E OAKLAND PARK BLVD Unit#44","","$1,950","B-2 - CENTRAL BUSINE","","COM/Lease","Mixed Use","Consumer Service, Retail Space","Mixed Use","40,000","","",""
"1","R11127830","A","3280","105 NE 16th Terrace","","$1,850","RC-15","1953","COM/Lease","","","Multifamily","","","",""
"1","R11127782","A","3600","811 SE 16th Street","","$1,850","RMM-25","1969","COM/Lease","","","Multifamily","","","",""
"1","F10517025","A","3800","300 SW Himmarshee Street Unit#8"," ","$1,818","","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","21,750","","",""
"1","B26038226","A","3450","289 E Oakland Park Boulevard Unit#287"," ","$1,800","B-1","1973","COM/Lease","","Consumer Service, Office/Warehouse Combination, Office Space, Professional, Retail Space, School, Special Purpose","Mixed Use","","","","0"
"1","B26038220","A","3450","287 E Oakland Park Boulevard"," ","$1,800","B-1","1973","COM/Lease","","Consumer Service, Office/Warehouse Combination, Office Space, Professional, Retail Space, School, Special Purpose","Mixed Use","","","",""
