mls,address,submarket,asset_type,status,deal_kind,price,sqft,units,price_per_unit,ppsf,pred_ppsf,ppsf_gap_pct,age,year_built,waterfront,bays,zoning,noi,implied_cap,market_cap,assumed_value,income_gap_pct,price_band
F10500865,"804-810 NE 4th Avenue Unit#804, 805 & 810",Area 3380,Commercial (other),Active,Sale,4900000.0,16250.0,,,302.0,250.0,20.5,68.0,1958.0,False,,RAC-UV,220220.0,0.0449,0.07,3146000.0,55.8,$2.5–5M
F10556402,325 SW 26th Street,Area 3600,Mixed Use,Active,Sale,4250000.0,33723.0,,,126.0,136.0,-7.1,25.0,2001.0,False,,B-2,315647.0,0.0743,0.0675,4676256.0,-9.1,$2.5–5M
F10513768,101-105 SE 26th Street,Area 3570,Multifamily,Active,Sale,4000000.0,18898.0,,,212.0,178.0,18.9,54.0,1972.0,False,,B-3,185457.0,0.0464,0.055,3371953.0,18.6,$2.5–5M
F10552058,1901 SE 4th Avenue,Area 3800,Mixed Use,Active,Sale,1150000.0,8315.0,,,138.0,181.0,-23.5,67.0,1959.0,False,,ROA,77828.0,0.0677,0.0675,1153013.0,-0.3,$1–2.5M
A11978741,355 NW 32nd St Unit#1-6,Area 3720,Multifamily,Active,Sale,1300000.0,13800.0,6.0,216700.0,94.0,210.0,-55.2,61.0,1965.0,False,,R-2,135428.0,0.1042,0.055,2462321.0,-47.2,$1–2.5M
A12004590,1126 SE 2nd Ave,Area 3800,Mixed Use,Active,Sale,1100000.0,10954.0,,,100.0,156.0,-35.6,76.0,1950.0,False,,ROA,102529.0,0.0932,0.0675,1518955.0,-27.6,$1–2.5M
F10546525,751 NW 5th Street,Area 3460,Multifamily,Active,Sale,1399990.0,10125.0,,,138.0,162.0,-14.6,66.0,1960.0,False,,RMM-25,99363.0,0.071,0.055,1806595.0,-22.5,$1–2.5M
A12045322,620 SW 7th St Unit#1-6,Area 3470,Multifamily,Active,Sale,1749000.0,8075.0,6.0,291500.0,217.0,223.0,-2.9,66.0,1960.0,False,,RD-15,79245.0,0.0453,0.055,1440815.0,21.4,$1–2.5M
A11993577,834 NW 10th Terr,Area 3460,Industrial,Active,Sale,1750000.0,16875.0,,,104.0,142.0,-27.0,57.0,1969.0,False,,B-3,163519.0,0.0934,0.0625,2616300.0,-33.1,$1–2.5M
A11851609,15 NW 9th Ave,Area 3470,Industrial,Active,Sale,1799000.0,7000.0,,,257.0,277.0,-7.2,72.0,1954.0,False,6.0,B-3,67830.0,0.0377,0.0625,1085280.0,65.8,$1–2.5M
F10506416,114 NW 5th Street,Area 3810,Commercial (other),Active,Sale,6000000.0,8126.0,,,738.0,379.0,94.6,67.0,1959.0,False,,RAC-UV,110124.0,0.0184,0.07,1573194.0,281.4,$5–10M
A11967447,505 SE 16th St,Area 3600,Hotel,Active,Sale,6000000.0,21450.0,,,280.0,373.0,-25.0,66.0,1960.0,False,,RO,570570.0,0.0951,0.085,6712588.0,-10.6,$5–10M
A12052897,2209 NE 26th St,Area 3370,Hotel,Active,Sale,7995000.0,36407.0,,,220.0,195.0,12.4,69.0,1957.0,False,,RM-12,968426.0,0.1211,0.085,11393249.0,-29.8,$5–10M
F10522666,700 NE 13th Street,Area 3380,Retail,Active,Sale,1999000.0,8108.0,,,247.0,235.0,4.9,72.0,1954.0,False,,CB,133821.0,0.0669,0.0675,1982532.0,0.8,$1–2.5M
A11923542,2500 Wilton Dr,Area 3370,Mixed Use,Active,Sale,2299000.0,5664.0,,,406.0,244.0,66.6,14.0,2012.0,False,,A & E DI,53015.0,0.0231,0.0675,785408.0,192.7,$1–2.5M
A12016794,2401 NW 9th Ave Unit#1-8,Area 3010,Multifamily,Active,Sale,1999000.0,10061.0,8.0,249900.0,199.0,249.0,-20.1,60.0,1966.0,False,,RM-12,98735.0,0.0494,0.055,1795175.0,11.4,$1–2.5M
A12023882,1210 NE 8th Ave,Area 3380,Flex,Active,Sale,1999000.0,6378.0,,,313.0,412.0,-23.9,59.0,1967.0,False,,B-3,93884.0,0.047,0.07,1341202.0,49.0,$1–2.5M
