mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
A11642161,824 NE 4th St Unit#1-6,Area 3700,Multifamily,Expired,1500000.0,6440.0,233.0,315.0,-26.1,1149083.0,30.5
F10498147,533 NE 13th Street,Area 3380,Commercial (other),Expired,2850000.0,14491.0,197.0,266.0,-26.2,2805458.0,1.6
A11814830,1415 SW 1st Street Unit#1-8,Area 3470,Multifamily,Expired,1699000.0,13802.0,123.0,168.0,-26.7,2462678.0,-31.0
A11657759,2600 N Andrews Ave,Area 3370,Mixed Use,Expired,1200000.0,8798.0,136.0,192.0,-28.9,1219989.0,-1.6
A11534878,2600 N Andrews Ave,Area 3370,Mixed Use,Expired,1200000.0,8798.0,136.0,192.0,-28.9,1219989.0,-1.6
A11750386,600 W Oakland Park Blvd,Area 3390,Retail,Expired,1200000.0,10213.0,117.0,166.0,-29.1,2497237.0,-51.9
F10450315,2455 E Sunrise Boulevard Unit#1108,Area 3260,Commercial (other),Expired,1079325.0,3321.0,325.0,464.0,-29.9,642946.0,67.9
F10526976,301 SW 7th Street,Area 3500,Commercial (other),Expired,1395000.0,7250.0,192.0,276.0,-30.3,1403600.0,-0.6
A11974556,709 SW 4th Ct Unit#1-7,Area 3470,Multifamily,Cancelled,1599900.0,14000.0,114.0,166.0,-31.2,2498007.0,-36.0
F10447813,3015 N Ocean Boulevard Unit#C-115,Area 3160,Commercial (other),Expired,425000.0,1938.0,219.0,319.0,-31.2,375197.0,13.3
F10541814,301 SW 14th Way,Area 3470,Multifamily,Withdrawn,1280000.0,8652.0,148.0,215.0,-31.3,1543768.0,-17.1
F10396003,100 SE 21st Street Unit#1-8,Area 3800,Commercial (other),Expired,1850000.0,14299.0,129.0,189.0,-31.6,2768286.0,-33.2
A11892190,834 NW 10th Ter,Area 3460,Industrial,Expired,1600000.0,16875.0,95.0,142.0,-33.3,2616300.0,-38.8
F10511940,11 SE 13th Street,Area 3800,Mixed Use,TempOff,850000.0,6250.0,136.0,210.0,-35.1,866667.0,-1.9
