address,asset_type,submarket,status,last_ask,value,implied_cap,lease_psf,comp_ppsf,opener
3047 N Federal Highway,Commercial (other),Area 3380,Cancelled,2500000.0,1881000.0,,26.5,601,"Hi, I saw 3047 N Federal Highway came off the market — I cover Wilton Dr · Federal Hwy. Commercial around here is trading near $601/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2500 Wilton Dr,Special Purpose,Area 3370,Expired,2500000.0,1926000.0,,7.3,340,"Hi, I saw 2500 Wilton Dr came off the market — I cover Dixie Hwy · Oakland Park Blvd. Special-purpose around here is trading near $340/SF and leasing around $7/SF. I think it can be positioned to actually sell — got two minutes?"
1650 NE 26th Street,Commercial (other),Area 3280,Expired,2500000.0,3121000.0,0.0813,26.5,208,"Hi, I saw 1650 NE 26th Street came off the market — I cover Sunrise Blvd · Las Olas Blvd. Commercial around here is trading near $208/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
835 NE 3rd Ave,Restaurant,Area 3700,Cancelled,2499999.0,1549000.0,0.0606,22.6,243,"Hi, I saw 835 NE 3rd Ave came off the market — I cover Andrews Ave. Restaurant/bar around here is trading near $243/SF and leasing around $23/SF. I think it can be positioned to actually sell — got two minutes?"
415 SE 12th Street,Commercial (other),Area 3150,Cancelled,2499000.0,2808000.0,0.0648,26.5,235,"Hi, I saw 415 SE 12th Street came off the market — I cover the area. Commercial around here is trading near $235/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2617 NE 13th Court,Commercial (other),Area 3260,Expired,2475000.0,2621000.0,0.0569,26.5,252,"Hi, I saw 2617 NE 13th Court came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $252/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
735 NW 7th Terrace,Industrial,Area 3460,Expired,2400000.0,1883000.0,0.0409,19.4,186,"Hi, I saw 735 NW 7th Terrace came off the market — I cover Sunrise Blvd. Industrial around here is trading near $186/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
1700 NE 5 Street,Commercial (other),Area 3270,Expired,2295000.0,2923000.0,0.0774,26.5,223,"Hi, I saw 1700 NE 5 Street came off the market — I cover Sunrise Blvd. Commercial around here is trading near $223/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
844 NW 10th Ter,Mixed Use,Area 3460,Expired,2225000.0,1536000.0,0.071,20.2,91,"Hi, I saw 844 NW 10th Ter came off the market — I cover Sunrise Blvd. Mixed-use around here is trading near $91/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
844 NW 10th Ter,Mixed Use,Area 3460,Expired,2200000.0,1536000.0,0.0718,20.2,91,"Hi, I saw 844 NW 10th Ter came off the market — I cover Sunrise Blvd. Mixed-use around here is trading near $91/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
1210 NE 8th Ave,Flex,Area 3560,Withdrawn,2198672.0,2092000.0,0.0427,,328,"Hi, I saw 1210 NE 8th Ave came off the market — I cover Broward Blvd · Sunrise Blvd. Flex around here is trading near $328/SF. I think it can be positioned to actually sell — got two minutes?"
1210 NE 8th Avenue,Mixed Use,Area 3560,Withdrawn,2198672.0,1499000.0,,20.2,235,"Hi, I saw 1210 NE 8th Avenue came off the market — I cover Broward Blvd · Sunrise Blvd. Mixed-use around here is trading near $235/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
325 NW 25 Street,Multifamily,Area 3390,Expired,2179449.0,2842000.0,0.0595,15.4,215,"Hi, I saw 325 NW 25 Street came off the market — I cover Oakland Park Blvd · SE 17th St. Multifamily around here is trading near $215/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
709 SW 4th Ct Unit#1-7,Multifamily,Area 3470,Expired,2100000.0,2324000.0,0.0654,15.4,166,"Hi, I saw 709 SW 4th Ct Unit#1-7 came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $166/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
842 NW 1st Avenue Unit#1-8,Multifamily,Area 3810,Expired,2079000.0,3311000.0,0.0478,15.4,327,"Hi, I saw 842 NW 1st Avenue Unit#1-8 came off the market — I cover Broward Blvd. Multifamily around here is trading near $327/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1900 E Oakland Park Boulevard,Retail,Area 3370,Expired,2050000.0,2058000.0,0.1347,28.0,123,"Hi, I saw 1900 E Oakland Park Boulevard came off the market — I cover Dixie Hwy · Oakland Park Blvd. Retail around here is trading near $123/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
842 NW 1st Ave,Multifamily,Area 3810,Expired,2049000.0,3311000.0,0.0485,15.4,327,"Hi, I saw 842 NW 1st Ave came off the market — I cover Broward Blvd. Multifamily around here is trading near $327/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
511 SE 5th Ave Unit#11,Office,Area 3800,Expired,2043000.0,735000.0,0.0353,17.0,162,"Hi, I saw 511 SE 5th Ave Unit#11 came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $162/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
821 NE 18th Ct Unit#1-5,Multifamily,Area 3370,Expired,2000000.0,2246000.0,0.0419,15.4,263,"Hi, I saw 821 NE 18th Ct Unit#1-5 came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $263/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
2010 NW 6th St,Restaurant,Area 3040,Expired,1998500.0,1404000.0,0.0618,22.6,270,"Hi, I saw 2010 NW 6th St came off the market — I cover Federal Hwy. Restaurant/bar around here is trading near $270/SF and leasing around $23/SF. I think it can be positioned to actually sell — got two minutes?"
1091 NE 4th Avenue,Commercial (other),Area 3390,Expired,1990000.0,3403000.0,0.1233,26.5,188,"Hi, I saw 1091 NE 4th Avenue came off the market — I cover Oakland Park Blvd · SE 17th St. Commercial around here is trading near $188/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2700 E Oakland Park Boulevard,Retail,Area 3260,Expired,1990000.0,2025000.0,0.1244,28.0,135,"Hi, I saw 2700 E Oakland Park Boulevard came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Retail around here is trading near $135/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
200-204 NW 17th Court Unit#1-8,Multifamily,Area 3390,Cancelled,1950000.0,2317000.0,0.0429,15.4,272,"Hi, I saw 200-204 NW 17th Court Unit#1-8 came off the market — I cover Oakland Park Blvd · SE 17th St. Multifamily around here is trading near $272/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
700 NW 7th Avenue,Industrial,Area 3400,Cancelled,1950000.0,3662000.0,0.0839,19.4,217,"Hi, I saw 700 NW 7th Avenue came off the market — I cover the area. Industrial around here is trading near $217/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
320 Davie Blvd,Office,Area 3380,Expired,1950000.0,1486000.0,0.0787,17.0,154,"Hi, I saw 320 Davie Blvd came off the market — I cover Wilton Dr · Federal Hwy. Office around here is trading near $154/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
901 NE 30th Ct,Industrial,Area 3331,Expired,1900000.0,3630000.0,0.0842,19.4,220,"Hi, I saw 901 NE 30th Ct came off the market — I cover the area. Industrial around here is trading near $220/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
3047 N Federal Highway,Commercial (other),Area 3380,Expired,1900000.0,1881000.0,,26.5,601,"Hi, I saw 3047 N Federal Highway came off the market — I cover Wilton Dr · Federal Hwy. Commercial around here is trading near $601/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1415 SW 1 ST Unit#1-8,Multifamily,Area 3470,Expired,1895000.0,2319000.0,0.0715,15.4,168,"Hi, I saw 1415 SW 1 ST Unit#1-8 came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $168/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
2500 Wilton Drive,Commercial (other),Area 3370,Cancelled,1890000.0,1926000.0,0.0406,26.5,340,"Hi, I saw 2500 Wilton Drive came off the market — I cover Dixie Hwy · Oakland Park Blvd. Commercial around here is trading near $340/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
530-536 & 548 & 548 32nd Street,Commercial (other),Area 3450,Expired,1890000.0,3320000.0,0.1227,26.5,194,"Hi, I saw 530-536 & 548 & 548 32nd Street came off the market — I cover Oakland Park Blvd. Commercial around here is trading near $194/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
100 SE 21st Street Unit#1-8,Commercial (other),Area 3800,Expired,1850000.0,2703000.0,0.1047,26.5,189,"Hi, I saw 100 SE 21st Street Unit#1-8 came off the market — I cover Andrews Ave · SE 17th St. Commercial around here is trading near $189/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2300 NW 6th St,Multifamily,Area 3120,Cancelled,1800000.0,2855000.0,0.0731,15.4,213,"Hi, I saw 2300 NW 6th St came off the market — I cover the area. Multifamily around here is trading near $213/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1100 NE 18th Court,Multifamily,Area 3370,Expired,1800000.0,2319000.0,0.05,15.4,253,"Hi, I saw 1100 NE 18th Court came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $253/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1620 NE 12th Terrace,Industrial,Area 3360,Expired,1800000.0,3087000.0,0.0632,19.4,263,"Hi, I saw 1620 NE 12th Terrace came off the market — I cover Oakland Park Blvd. Industrial around here is trading near $263/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
505 SE 20th St Unit#1-5,Multifamily,Area 3600,Expired,1799000.0,2937000.0,0.0381,15.4,421,"Hi, I saw 505 SE 20th St Unit#1-5 came off the market — I cover SE 17th St · Federal Hwy. Multifamily around here is trading near $421/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1124 NE 5th Avenue,Multifamily,Area 3370,Expired,1750000.0,3362000.0,0.1136,15.4,166,"Hi, I saw 1124 NE 5th Avenue came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $166/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
511 SE 5th Ave Unit#11,Office,Area 3800,Cancelled,1740000.0,735000.0,0.0415,17.0,162,"Hi, I saw 511 SE 5th Ave Unit#11 came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $162/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
511 SE 5th Ave Unit#11,Office,Area 3800,Expired,1700000.0,720000.0,0.0406,17.0,166,"Hi, I saw 511 SE 5th Ave Unit#11 came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $166/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
1130 NE 6th Avenue,Commercial (other),Area 3370,Expired,1700000.0,2809000.0,0.1018,26.5,220,"Hi, I saw 1130 NE 6th Avenue came off the market — I cover Dixie Hwy · Oakland Park Blvd. Commercial around here is trading near $220/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2133 N Dixie Highway,Commercial (other),Area 3370,Expired,1700000.0,2182000.0,0.0598,26.5,291,"Hi, I saw 2133 N Dixie Highway came off the market — I cover Dixie Hwy · Oakland Park Blvd. Commercial around here is trading near $291/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
